FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
183,12.3333761,12.1667094,12.1667094,12.3333761,25.1666898,25.1666898,25.3333565,25.3333565
184,12.5000428,12.3333761,12.3333761,12.5000428,25.1666898,25.1666898,25.3333565,25.3333565
185,12.6667095,12.5000428,12.5000428,12.6667095,25.1666898,25.1666898,25.3333565,25.3333565
186,12.8333762,12.6667095,12.6667095,12.8333762,25.1666898,25.1666898,25.3333565,25.3333565
187,13.0000429,12.8333762,12.8333762,13.0000429,25.1666898,25.1666898,25.3333565,25.3333565
188,13.1667096,13.0000429,13.0000429,13.1667096,25.1666898,25.1666898,25.3333565,25.3333565
189,13.3333763,13.1667096,13.1667096,13.3333763,25.1666898,25.1666898,25.3333565,25.3333565
190,13.500043,13.3333763,13.3333763,13.500043,25.1666898,25.1666898,25.3333565,25.3333565
191,13.6667097,13.500043,13.500043,13.6667097,25.1666898,25.1666898,25.3333565,25.3333565
192,13.8333764,13.6667097,13.6667097,13.8333764,25.1666898,25.1666898,25.3333565,25.3333565
193,14.0000431,13.8333764,13.8333764,14.0000431,25.1666898,25.1666898,25.3333565,25.3333565
194,14.1667098,14.0000431,14.0000431,14.1667098,25.1666898,25.1666898,25.3333565,25.3333565
195,14.3333765,14.1667098,14.1667098,14.3333765,25.1666898,25.1666898,25.3333565,25.3333565
196,14.5000432,14.3333765,14.3333765,14.5000432,25.1666898,25.1666898,25.3333565,25.3333565
197,14.6667099,14.5000432,14.5000432,14.6667099,25.1666898,25.1666898,25.3333565,25.3333565
198,14.8333766,14.6667099,14.6667099,14.8333766,25.1666898,25.1666898,25.3333565,25.3333565
199,15.0000433,14.8333766,14.8333766,15.0000433,25.1666898,25.1666898,25.3333565,25.3333565
200,15.16671,15.0000433,15.0000433,15.16671,25.1666898,25.1666898,25.3333565,25.3333565
201,15.3333767,15.16671,15.16671,15.3333767,25.1666898,25.1666898,25.3333565,25.3333565
202,15.5000434,15.3333767,15.3333767,15.5000434,25.1666898,25.1666898,25.3333565,25.3333565
203,15.6667101,15.5000434,15.5000434,15.6667101,25.1666898,25.1666898,25.3333565,25.3333565
204,15.8333768,15.6667101,15.6667101,15.8333768,25.1666898,25.1666898,25.3333565,25.3333565
205,16.0000435,15.8333768,15.8333768,16.0000435,25.1666898,25.1666898,25.3333565,25.3333565
206,16.1667102,16.0000435,16.0000435,16.1667102,25.1666898,25.1666898,25.3333565,25.3333565
207,-17.9999633,-18.16663,-18.16663,-17.9999633,25.0000231,25.0000231,25.1666898,25.1666898
208,-17.8332966,-17.9999633,-17.9999633,-17.8332966,25.0000231,25.0000231,25.1666898,25.1666898
209,-17.6666299,-17.8332966,-17.8332966,-17.6666299,25.0000231,25.0000231,25.1666898,25.1666898
210,-17.4999632,-17.6666299,-17.6666299,-17.4999632,25.0000231,25.0000231,25.1666898,25.1666898
211,-17.3332965,-17.4999632,-17.4999632,-17.3332965,25.0000231,25.0000231,25.1666898,25.1666898
212,-17.1666298,-17.3332965,-17.3332965,-17.1666298,25.0000231,25.0000231,25.1666898,25.1666898
213,-16.9999631,-17.1666298,-17.1666298,-16.9999631,25.0000231,25.0000231,25.1666898,25.1666898
214,-16.8332964,-16.9999631,-16.9999631,-16.8332964,25.0000231,25.0000231,25.1666898,25.1666898
215,-16.6666297,-16.8332964,-16.8332964,-16.6666297,25.0000231,25.0000231,25.1666898,25.1666898
216,-16.499963,-16.6666297,-16.6666297,-16.499963,25.0000231,25.0000231,25.1666898,25.1666898
217,-16.3332963,-16.499963,-16.499963,-16.3332963,25.0000231,25.0000231,25.1666898,25.1666898
218,-16.1666296,-16.3332963,-16.3332963,-16.1666296,25.0000231,25.0000231,25.1666898,25.1666898
219,-15.9999629,-16.1666296,-16.1666296,-15.9999629,25.0000231,25.0000231,25.1666898,25.1666898
220,-15.8332962,-15.9999629,-15.9999629,-15.8332962,25.0000231,25.0000231,25.1666898,25.1666898
221,-15.6666295,-15.8332962,-15.8332962,-15.6666295,25.0000231,25.0000231,25.1666898,25.1666898
222,-15.4999628,-15.6666295,-15.6666295,-15.4999628,25.0000231,25.0000231,25.1666898,25.1666898
223,-15.3332961,-15.4999628,-15.4999628,-15.3332961,25.0000231,25.0000231,25.1666898,25.1666898
224,-15.1666294,-15.3332961,-15.3332961,-15.1666294,25.0000231,25.0000231,25.1666898,25.1666898
225,-14.9999627,-15.1666294,-15.1666294,-14.9999627,25.0000231,25.0000231,25.1666898,25.1666898
226,-14.833296,-14.9999627,-14.9999627,-14.833296,25.0000231,25.0000231,25.1666898,25.1666898
227,-14.6666293,-14.833296,-14.833296,-14.6666293,25.0000231,25.0000231,25.1666898,25.1666898
228,-14.4999626,-14.6666293,-14.6666293,-14.4999626,25.0000231,25.0000231,25.1666898,25.1666898
229,-14.3332959,-14.4999626,-14.4999626,-14.3332959,25.0000231,25.0000231,25.1666898,25.1666898
230,-14.1666292,-14.3332959,-14.3332959,-14.1666292,25.0000231,25.0000231,25.1666898,25.1666898
231,-13.9999625,-14.1666292,-14.1666292,-13.9999625,25.0000231,25.0000231,25.1666898,25.1666898
232,-13.8332958,-13.9999625,-13.9999625,-13.8332958,25.0000231,25.0000231,25.1666898,25.1666898
233,-13.6666291,-13.8332958,-13.8332958,-13.6666291,25.0000231,25.0000231,25.1666898,25.1666898
234,-13.4999624,-13.6666291,-13.6666291,-13.4999624,25.0000231,25.0000231,25.1666898,25.1666898
235,-13.3332957,-13.4999624,-13.4999624,-13.3332957,25.0000231,25.0000231,25.1666898,25.1666898
236,-13.166629,-13.3332957,-13.3332957,-13.166629,25.0000231,25.0000231,25.1666898,25.1666898
237,-12.9999623,-13.166629,-13.166629,-12.9999623,25.0000231,25.0000231,25.1666898,25.1666898
238,-12.8332956,-12.9999623,-12.9999623,-12.8332956,25.0000231,25.0000231,25.1666898,25.1666898
239,-12.6666289,-12.8332956,-12.8332956,-12.6666289,25.0000231,25.0000231,25.1666898,25.1666898
240,-12.4999622,-12.6666289,-12.6666289,-12.4999622,25.0000231,25.0000231,25.1666898,25.1666898
241,-12.3332955,-12.4999622,-12.4999622,-12.3332955,25.0000231,25.0000231,25.1666898,25.1666898
242,-12.1666288,-12.3332955,-12.3332955,-12.1666288,25.0000231,25.0000231,25.1666898,25.1666898
243,-11.9999621,-12.1666288,-12.1666288,-11.9999621,25.0000231,25.0000231,25.1666898,25.1666898
244,-11.8332954,-11.9999621,-11.9999621,-11.8332954,25.0000231,25.0000231,25.1666898,25.1666898
245,-11.6666287,-11.8332954,-11.8332954,-11.6666287,25.0000231,25.0000231,25.1666898,25.1666898
246,-11.499962,-11.6666287,-11.6666287,-11.499962,25.0000231,25.0000231,25.1666898,25.1666898
247,-11.3332953,-11.499962,-11.499962,-11.3332953,25.0000231,25.0000231,25.1666898,25.1666898
248,-11.1666286,-11.3332953,-11.3332953,-11.1666286,25.0000231,25.0000231,25.1666898,25.1666898
249,-10.9999619,-11.1666286,-11.1666286,-10.9999619,25.0000231,25.0000231,25.1666898,25.1666898
250,-10.8332952,-10.9999619,-10.9999619,-10.8332952,25.0000231,25.0000231,25.1666898,25.1666898
251,-10.6666285,-10.8332952,-10.8332952,-10.6666285,25.0000231,25.0000231,25.1666898,25.1666898
252,-10.4999618,-10.6666285,-10.6666285,-10.4999618,25.0000231,25.0000231,25.1666898,25.1666898
253,-10.3332951,-10.4999618,-10.4999618,-10.3332951,25.0000231,25.0000231,25.1666898,25.1666898
254,-10.1666284,-10.3332951,-10.3332951,-10.1666284,25.0000231,25.0000231,25.1666898,25.1666898
255,-9.9999617,-10.1666284,-10.1666284,-9.9999617,25.0000231,25.0000231,25.1666898,25.1666898
256,-9.833295,-9.9999617,-9.9999617,-9.833295,25.0000231,25.0000231,25.1666898,25.1666898
257,-9.6666283,-9.833295,-9.833295,-9.6666283,25.0000231,25.0000231,25.1666898,25.1666898
258,-9.4999616,-9.6666283,-9.6666283,-9.4999616,25.0000231,25.0000231,25.1666898,25.1666898
259,-9.3332949,-9.4999616,-9.4999616,-9.3332949,25.0000231,25.0000231,25.1666898,25.1666898
260,-9.1666282,-9.3332949,-9.3332949,-9.1666282,25.0000231,25.0000231,25.1666898,25.1666898
261,-8.9999615,-9.1666282,-9.1666282,-8.9999615,25.0000231,25.0000231,25.1666898,25.1666898
262,-8.8332948,-8.9999615,-8.9999615,-8.8332948,25.0000231,25.0000231,25.1666898,25.1666898
263,-8.6666281,-8.8332948,-8.8332948,-8.6666281,25.0000231,25.0000231,25.1666898,25.1666898
264,-8.4999614,-8.6666281,-8.6666281,-8.4999614,25.0000231,25.0000231,25.1666898,25.1666898
